Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,0.8990221180020617,-1.4032572334579525e-27,0.20025157395039878,4.071737048044543e-15,0.18620267217113146,-5.393412447726498e-14
0.0038228365466132165,0.8990240581920114,0.0007118150561752966,0.2002481025926812,0.0010150492466290471,0.18619692454397843,-0.001816115918327723
0.011768235616080374,0.8990405038474001,0.002191063254408529,0.20021867742552682,0.0031245605090216783,0.18614820402857535,-0.005590723250072961
0.019717501749859496,0.8990737288061232,0.003670446536825767,0.20015922544261797,0.005234574469155864,0.18604976454299735,-0.009367120763374828
0.027670830724203024,0.899123753410276,0.0051496050055673745,0.20006970075700795,0.007344788018380143,0.18590152546765584,-0.013145370296148798
0.03562832767583855,0.899190595971917,0.006628160582708554,0.19995005627988052,0.009454872837977912,0.18570340179213238,-0.016925491494229065
0.04359010889949988,0.8992742729794221,0.008105735886144137,0.19980024331491644,0.011564502367925333,0.18545530338175858,-0.020707510565268535
0.05155627990605646,0.8993747988996346,0.009581950079128682,0.19962021187141163,0.013673345932752056,0.18515713541671994,-0.0244914502540864
0.05952694254601802,0.899492186160222,0.011056420127717402,0.19940991065033933,0.015781070581401824,0.1848087982715984,-0.028277333631732942
0.06750218765926952,0.899626444962506,0.012528759378869572,0.19916928732961417,0.01788733909821158,0.18441018787203284,-0.032065181016359384
0.0754821023117413,0.8997775832923685,0.013998578843042427,0.19889828849019933,0.019991811876845265,0.1839611954375529,-0.03585501383036008
0.0834667584168201,0.8999456066106869,0.015465485046537024,0.1985968601124767,0.022094143883852523,0.18346170814963364,-0.039646849624667475
0.09145621436736481,0.9001305177145696,0.01692908030214781,0.19826494776301298,0.02419398507322737,0.18291160928700717,-0.04344070329221943
0.09945050635193349,0.9003323163478086,0.01838896110265307,0.1979024972282737,0.026290978101229656,0.18231077908124635,-0.047236583392900953
0.10744965456646788,0.9005509991250313,0.019844719262143116,0.1975094545827355,0.028384759973511114,0.1816590946139739,-0.051034495562567526
0.11545364855262273,0.9007865588982439,0.021295939268436554,0.19708576725682395,0.03047495823767919,0.18095643135004041,-0.054834436022248315
0.12346244745153218,0.9010389844260147,0.022742198399136833,0.19663138456130622,0.03256119112429618,0.1802026637482164,-0.05863639218191885
0.13147597640360906,0.9013082599139597,0.024183066165680316,0.19614625844345662,0.03464306670566076,0.17939766623397904,-0.06244034142609759
0.13949411823992997,0.9015943643394848,0.02561810295552041,0.19563034463414622,0.03672018087166489,0.17854131479875088,-0.06624624767644884
0.14751670827175026,0.9018972707961186,0.027046859292824625,0.19508360376449727,0.038792116165775395,0.1776334885268704,-0.07005405943697604
0.15554352143346487,0.9022169454646721,0.028468873807438164,0.1945060031633106,0.04085843870909962,0.1766740722315572,-0.07386370422077558
0.16357427064003657,0.9025533469116995,0.02988367328496241,0.19389751807427077,0.04291869809598066,0.175662958107145,-0.0776750883090173
0.1716085889398906,0.902906424645838,0.03129076994102641,0.19325813422817625,0.044972423203160354,0.17460004961313982,-0.08148808882605872
0.17964602396211188,0.903276118041027,0.032689660992034804,0.19258784977164783,0.04701912126980872,0.17348526427307098,-0.08530255165366145
0.18768602205418555,0.903662354697007,0.034079826546293206,0.19188667823853758,0.049058274454809966,0.17231853819284235,-0.0891182844519683
0.19572791468662223,0.9040650487353261,0.03546072806121934,0.19115465167039133,0.051089337124476296,0.1710998308185463,-0.09293505075026873
0.20377089858078176,0.9044840986135586,0.03683180591266311,0.19039182465174864,0.05311173172439413,0.16982913121403873,-0.0967525610449852
0.21181402194431773,0.9049193850564892,0.038192478235899975,0.18959827818191288,0.05512484639245326,0.16850646407104025,-0.10057046677288439
0.21985616504786837,0.90537076852409,0.03954213903427696,0.1887741244472597,0.05712803135571923,0.16713189723194818,-0.10438835156343808
0.22789601456232048,0.9058380861088727,0.04088015553015853,0.1879195127065971,0.05912059403055101,0.1657055510944954,-0.10820571947877801
0.23593204921313826,0.9063211488566619,0.042205867726129824,0.1870346344873077,0.06110179721786714,0.16422760690616492,-0.11202198855853918
0.24396250968722516,0.906819737970179,0.04351858567827341,0.1861197309217853,0.06307085369083583,0.16269831868608903,-0.11583647679954623
0.2519853855376079,0.9073336018177505,0.04481758994490231,0.18517509872232513,0.06502692530220659,0.1611180229482841,-0.11964839609537489
0.25999838998981356,0.9078624520437619,0.04610213040538691,0.1842010979270799,0.06696911943251083,0.1594871514783448,-0.1234568402935213
0.2679989427225791,0.9084059600110906,0.047371426768700015,0.18319815917785548,0.06889648773446728,0.15780624344764907,-0.12726077687449586
0.2759841610381494,0.9089637537271044,0.048624670760673935,0.18216679025344265,0.07080802720431913,0.15607595642017935,-0.13105904242790894
0.28395085451271707,0.9095354150218946,0.04986102913833428,0.18110758228659773,0.07270268233181164,0.15429707698798642,-0.13485033956984088
0.291895523564464,0.9101204770695227,0.0510796475530512,0.1800212154997043,0.07457934839100107,0.15247053078056053,-0.13863323548648623
0.2998143797318344,0.9107184236750245,0.052279657884434345,0.17890846180848094,0.076436879978621,0.15059738740527054,-0.14240617056372798
0.30770336416074523,0.9113286887774488,0.05346018524684524,0.17777018714301943,0.07827409907597514,0.1486788651063344,-0.14616746591964616
0.3155581895943904,0.9119506581728725,0.054620358369209934,0.17660734973160044,0.08008980844947577,0.1467163288204421,-0.1499153418995571
0.3233743891442158,0.9125836723835327,0.05575932056440042,0.17542099629293828,0.08188280624518451,0.14471128487468637,-0.15364793960685594
0.33114737586862913,0.9132270310809526,0.05687624171058415,0.1742122553266417,0.08365190255515882,0.14266537092992457,-0.15736334743359282
0.33887251871432733,0.9138799996497043,0.057970331809124025,0.1729823263336913,0.08539593901283357,0.14058033913905388,-0.1610596353171311
0.3465452127696348,0.9145418161384145,0.05904085275913407,0.1717324681940396,0.087113806229771,0.13845803791974143,-0.16473488626347074
0.3541609645630489,0.9152117003291022,0.060087131189922996,0.17046398338505567,0.08880446367137346,0.13630038665988722,-0.16838723513273937
0.3617154625056655,0.9158888623506152,0.06110856805177218,0.1691782028365801,0.09046695516517318,0.13410935141979732,-0.17201490045962767
0.36920464735629543,0.9165725119792703,0.06210464709780643,0.16787646923373553,0.09210042342521643,0.1318869178644276,-0.17561621649314002
0.3766247681255899,0.9172618672084113,0.06307494032469167,0.1665601214287424,0.09370412042014377,0.1296350659024324,-0.17918965851589874
0.383972429161376,0.9179561624192523,0.06401911130310153,0.16523047932770643,0.09527741498750915,0.12735574492040477,-0.18273386422879598
0.3912446159587418,0.9186546548053873,0.06493691496621129,0.16388883183829964,0.09681979517852539,0.12505085402057659,-0.18624764520797846
0.39843871802628805,0.9193566305877476,0.06582819644731132,0.16253642496430307,0.0983308694684701,0.12272222227017228,-0.18972999725783843
0.4055525245615414,0.92006140854355,0.0666928861058503,0.16117445483373147,0.09981036186789026,0.12037159719240317,-0.19318009792233842
0.41258422150940005,0.9207683434446798,0.06753099457807077,0.15980406072182154,0.10125810719925009,0.11800063304539199,-0.19659730491205354
0.4195323680577495,0.9214768271636238,0.06834260531731307,0.158426322432498,0.10267404209264341,0.1156108864363268,-0.199981144773891
0.4263958700227895,0.9221862890625429,0.06912786696975368,0.15704225897783583,0.10405819552882667,0.11320381405127387,-0.20333130018576823
0.43317396257113633,0.9228961969623399,0.06988698704630278,0.1556528260444059,0.10541068147211441,0.11078076814265445,-0.20664760193641474
0.4398661647425145,0.9236060547895106,0.07062022269151072,0.15425891989618265,0.10673168610732987,0.10834300311695173,-0.20993000721907604
0.44647225177862015,0.9243154016284499,0.07132787392609026,0.15286137853683038,0.10802145905807471,0.10589167732056345,-0.21317858662645736
0.45299222278366547,0.9250238099119642,0.07201027675753029,0.15146098456150253,0.10928030402324042,0.10342785773432062,-0.216393508872646
0.4594262733906998,0.9257308837994218,0.07266779723417488,0.15005846765715739,0.1105085707544784,0.10095252403331911,-0.21957502795915926
0.46577476362497067,0.9264362567123742,0.07330082540615375,0.14865450880114903,0.11170664647142403,0.09846657563841935,-0.2227234679304479
0.47203819245350276,0.9271395893053955,0.07390977039245472,0.14724974364691656,0.11287494892952848,0.0959708373666244,-0.22583921086095052
0.47821717984935314,0.9278405680427397,0.07449505652596627,0.14584476473840485,0.11401392119878481,0.09346606301688742,-0.22892268852515735
0.48431243884797626,0.9285389024401443,0.07505711885903406,0.14444012643797796,0.11512402487217939,0.09095294381070634,-0.2319743690203228
0.49032476034170586,0.9292343235524192,0.07559640022337343,0.14303634742011528,0.11620573593065368,0.08843211255809423,-0.23499474964549275
0.4962550008024692,0.9299265826691528,0.07611334878244144,0.14163391277869217,0.11725954133926893,0.08590414714711754,-0.23798435120695
0.5021040679191721,0.9306154496571526,0.07660841560959065,0.14023327688377613,0.11828593545727939,0.08336957540449996,-0.24094371122729957
0.5078729040012996,0.931300710925872,0.07708205231929607,0.13883486705776063,0.11928541627066182,0.08082888149889493,-0.24387337593850852
0.5135624852852815,0.9319821691910397,0.0775347102129945,0.13743908363050497,0.12025848456484688,0.07828250582269364,-0.24677390027269633
0.5191738048686012,0.9326596412401682,0.0779668382129934,0.13604630410015295,0.12120564037832435,0.0757308523542717,-0.24964583950407793
0.5247078737313094,0.933332957803952,0.07837888239864348,0.13465688302379106,0.12212738269403865,0.07317428828421901,-0.25248975004372454
